Index,Tổng doanh thu hoạt động kinh doanh,Các khoản giảm trừ doanh thu,Doanh thu thuần (1)-(2),Giá vốn hàng bán,Lợi nhuận gộp (3)-(4),Doanh thu hoạt động tài chính,Chi phí tài chính,Chi phí lãi vay,Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,Chi phí bán hàng,Chi phí quản lý doanh nghiệp,Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),Thu nhập khác,Chi phí khác,Lợi nhuận khác (12)-(13),Tổng lợi nhuận kế toán trước thuế (11)+(14),Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN (16)+(17),Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20)
Q1 2009,18900,0,18900,5490,13410,16,4185,0,0,0,412,8828,11,0,11,8839,0,0,0,8839,0,8839
Q2 2009,19642,0,19642,5926,13716,19,2473,1517,0,0,667,10595,40,0,40,10635,0,0,0,10635,0,10635
Q1 2011,37191,0,37191,13352,23839,379,10495,4953,0,0,1036,12687,0,0,0,12687,1269,0,1269,11418,0,11418
Q3 2011,40986,0,40986,19251,21735,1027,3977,3366,0,0,1315,17469,0,0,0,17469,1223,0,1223,16246,0,16246
Q4 2011,38413,0,38413,15501,22912,483,9528,4044,0,0,1276,12591,0,0,0,12591,1259,0,1259,11332,0,11332
Q1 2012,36922,0,36922,16544,20379,1162,4500,3920,0,0,1443,15598,0,0,0,15598,1560,0,1560,14038,0,14038
Q2 2012,40986,0,40986,19269,21716,1115,4151,3366,0,0,1315,17365,0,0,0,17365,1763,0,1763,15603,0,15603
Q3 2012,42635,0,42635,17738,24897,466,3595,3007,0,0,2222,19547,0,0,0,19547,1368,0,1368,18179,0,18179
Q4 2012,48017,0,48017,16386,31630,527,4072,2673,0,0,2989,25096,2909,9707,-6797,18299,1307,0,1307,16991,0,16991
Q1 2013,46171,0,46171,19680,26490,114,2204,2204,0,0,2086,22314,0,0,0,22314,2231,0,2231,20083,0,20083
Q2 2013,46480,0,46480,18186,28294,107,3346,1914,0,0,1758,23297,0,0,0,23297,2343,0,2343,20954,0,20954
Q3 2013,52371,0,52371,23007,29365,299,1253,1253,0,0,2097,26314,0,0,0,26314,2631,0,2631,23682,0,23682
