Index,Tổng doanh thu hoạt động kinh doanh,Các khoản giảm trừ doanh thu,Doanh thu thuần (1)-(2),Giá vốn hàng bán,Lợi nhuận gộp (3)-(4),Doanh thu hoạt động tài chính,Chi phí tài chính,Chi phí lãi vay,Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,Chi phí bán hàng,Chi phí quản lý doanh nghiệp,Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),Thu nhập khác,Chi phí khác,Lợi nhuận khác (12)-(13),Tổng lợi nhuận kế toán trước thuế (11)+(14),Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN (16)+(17),Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20)
Q1 2009,47505,0,47505,32341,15164,839,1455,1450,0,0,2144,12404,88,0,88,12492,874,0,874,11618,0,11618
Q2 2009,69340,0,69340,42304,27036,1728,1135,1004,0,0,2192,25438,38,0,38,25476,1793,0,1793,23683,0,23683
Q3 2009,71129,0,71129,40241,30888,3178,1666,1394,0,0,2420,29980,40,0,40,30020,10940,0,10940,19080,0,19080
Q4 2009,76466,0,76466,49165,27301,6048,4274,1225,0,0,5338,23737,37,0,37,23774,4783,0,4783,18991,0,18991
Q1 2010,52919,0,52919,34102,18817,4556,2319,1854,0,0,2292,18762,42,0,42,18803,1880,0,1880,16923,0,16923
Q2 2010,74309,0,74309,40548,33761,5481,5333,2081,0,0,2657,31253,1076,0,1076,32329,3588,0,3588,28741,0,28741
Q3 2010,97048,0,97048,48015,49033,4304,1505,858,0,0,3436,48396,579,0,579,48976,5435,0,5435,43540,0,43540
Q4 2010,102823,0,102823,54822,48001,8503,3892,1766,0,0,8195,44417,852,95,757,45174,5354,0,5354,39820,0,39820
Q1 2011,84623,0,84623,48858,35765,7455,1280,845,0,0,5205,36734,1626,7,1619,38353,3477,0,3477,34876,0,34876
Q2 2011,97623,0,97623,52635,44988,7646,8086,1384,0,0,3588,40960,1841,0,1841,42801,2420,0,2420,40380,0,40380
Q3 2011,98649,0,98649,52808,45840,7688,1859,1168,0,0,3571,48098,1730,0,1730,49828,4004,0,4004,45824,0,45824
Q4 2011,120016,0,120016,88479,31537,10383,3828,1542,0,0,7816,30275,2400,0,2400,32675,3466,0,3466,29209,0,29209
Q1 2012,108950,0,108950,64783,44167,7221,863,792,0,0,2330,48196,24,0,24,48219,3688,0,3688,44531,0,44531
Q2 2012,125294,0,125294,65876,59418,7345,2863,2731,0,0,3110,60791,27,0,27,60818,3943,0,3943,56875,0,56875
Q3 2012,113608,0,113608,57931,55677,5075,2650,2618,0,0,4911,53191,109,0,109,53300,3130,0,3130,50170,0,50170
Q4 2012,127392,0,127392,78530,48861,7671,3064,2837,0,0,14832,38636,246,11,235,38871,2392,0,2392,36479,0,36479
Q1 2013,111786,0,111786,59854,51931,3214,2141,2104,0,0,4167,48837,16,0,16,48852,2641,0,2641,46212,0,46212
Q2 2013,134747,0,134747,68858,65889,7311,4800,2636,0,0,7540,60860,119,141,-22,60838,3622,0,3622,57216,0,57216
Q3 2013,128992,0,128992,72411,56581,3174,2666,1129,0,0,3613,53475,633,0,633,54109,3203,0,3203,50905,0,50905
Q4 2013,125094,0,125094,77028,48067,7463,2649,2622,0,0,7150,45731,213,0,213,45943,3282,0,3282,42662,0,42662
Q1 2014,114528,0,114528,62220,52307,1306,1625,1608,0,0,3832,48156,127,45,82,48238,2337,0,2337,45901,0,45901
Q2 2014,140150,0,140150,75664,64486,10416,3971,2060,0,0,6579,64352,418,57,361,64713,4488,0,4488,60225,0,60225
Q3 2014,133605,0,133605,71911,61695,13209,1687,1373,0,0,4972,68245,431,149,282,68527,2556,0,2556,65972,0,65972
Q4 2014,153357,0,153357,95526,57831,11445,1894,1729,0,0,6900,60483,372,13,360,60843,4988,0,4988,55855,0,55855
Q1 2015,146236,0,146236,67233,79003,816,1080,972,0,0,7190,71549,236,0,236,71786,7226,0,7226,64560,0,64560
Q2 2015,176361,0,176361,102258,74104,14532,3894,1423,0,0,9946,74796,307,0,307,75103,7309,0,7309,67794,0,67794
Q3 2015,170446,0,170446,75639,94807,18794,969,899,0,0,8698,103934,243,0,243,104177,8864,0,8864,95313,0,95313
Q4 2015,159005,0,159005,99201,59803,13571,4433,1217,0,0,9710,59231,255,0,255,59486,6063,0,6063,53423,0,53423
Q1 2016,141978,0,141978,68213,73765,4874,922,652,0,0,8398,69319,195,0,195,69514,6752,0,6752,62762,0,62762
Q2 2016,167984,0,167984,78460,89525,12822,984,932,0,0,10160,91204,213,0,213,91416,10672,0,10672,80744,0,80744
Q3 2016,166814,0,166814,74128,92686,1218,555,537,0,0,9854,83496,176,0,176,83672,6957,0,6957,76715,0,76715
Q4 2016,175344,0,175344,111089,64255,30635,1936,653,0,0,20969,71984,330,0,330,72314,5728,0,5728,66586,0,66586
Q1 2017,159146,0,159146,75067,84079,2302,676,423,0,0,12455,73250,137,0,137,73387,7420,0,7420,65967,0,65967
Q2 2017,162269,0,162269,73385,88883,17166,594,504,0,0,14906,90550,286,0,286,90835,8757,0,8757,82078,0,82078
Q3 2017,140892,0,140892,72778,68114,26236,292,280,0,0,11904,82155,217,0,217,82372,6008,0,6008,76364,0,76364
Q4 2017,164358,0,164358,95697,68661,17218,319,296,0,0,15950,69610,195,0,195,69805,6775,0,6775,63031,0,63031
