Index,Tổng doanh thu hoạt động kinh doanh,Các khoản giảm trừ doanh thu,Doanh thu thuần (1)-(2),Giá vốn hàng bán,Lợi nhuận gộp (3)-(4),Doanh thu hoạt động tài chính,Chi phí tài chính,Chi phí lãi vay,Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,Chi phí bán hàng,Chi phí quản lý doanh nghiệp,Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),Thu nhập khác,Chi phí khác,Lợi nhuận khác (12)-(13),Tổng lợi nhuận kế toán trước thuế (11)+(14),Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN (16)+(17),Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20)
Q1 2015,16874896,79173,16795722,14339054,2456669,597911,1242781,271965,-20216,969222,568734,253626,235327,165642,69685,323311,81496,-83642,-2146,325457,125821,199636
Q2 2015,15786493,93956,15692537,13758552,1933985,344378,893077,281660,-93238,869414,338204,84431,124348,7768,116580,201010,76975,4797,81772,119238,102957,16281
Q3 2015,17200548,106562,17093986,14354936,2739050,490889,1807672,297033,-15435,1061134,459870,-114173,495031,5217,489815,375642,74825,18249,93074,282568,54350,228217
Q4 2015,16456263,96813,16359450,14465915,1893535,318982,981329,303643,169490,1123027,694808,-417157,577577,11569,566008,148851,98375,-28140,70235,78616,16798,61818
Q1 2016,17871267,63026,17808241,14411030,3397211,877155,1383442,314281,74215,1140210,495081,1329847,87028,5204,81824,1411671,96277,47,96324,1315347,89428,1225919
Q2 2016,17079636,141486,16938150,14501242,2436908,-405813,470261,347228,-25123,1192589,416227,-73105,708091,12722,695369,622264,95127,35944,131072,491193,35002,456191
Q3 2016,18692691,150445,18542246,15717079,2825167,125787,469806,320474,8850,1082098,580439,827461,34102,10674,23429,850889,95517,14915,110432,740457,24881,715576
Q4 2016,16927894,127557,16800337,15142987,1657350,302714,725909,383445,16836,1041357,755176,-545543,277126,17908,259218,-286325,53707,103769,157476,-443801,-98638,-345163
Q1 2017,20952391,118754,20833636,17586689,3246947,242324,959063,370297,30526,1315384,456043,789308,69908,5490,64418,853725,102140,5502,107642,746084,2645,743439
Q2 2017,19456271,148119,19308152,17089596,2218557,198568,712519,406983,-79826,1031717,547383,45679,241386,118846,122541,168220,96257,-5159,91098,77122,54151,22971
Q3 2017,21716133,150310,21565824,17513297,4052527,219857,950644,383427,10521,1338478,632379,1361405,255304,5959,249345,1610750,158487,18982,177469,1433282,133971,1299311
Q1 2018,24591627,180089,24411538,20786892,3624645,260628,787320,367708,38820,1288413,528467,1319892,114350,5132,109218,1429110,290221,2040,292261,1136849,84122,1052727
Q2 2018,23352158,206493,23145665,20085027,3060638,543298,1307824,395079,-97640,1304051,590829,303592,128316,5810,122506,426098,47385,4387,51772,374326,65033,309293
Q3 2018,25560035,183213,25376822,22288008,3088814,268695,1027962,406851,9043,1197771,650004,490815,86417,6078,80340,571155,106106,7234,113340,457815,105146,352669
Q4 2018,24092127,204748,23887379,21454194,2433185,555841,1022230,391372,33568,966504,838978,194882,640206,21841,618365,813247,243693,5624,249317,563930,-3316,567246
Q1 2019,25752303,216125,25536178,21520715,4015463,225496,784697,378391,51087,1430630,603843,1472876,112559,6375,106184,1579060,368134,-1464,366670,1212390,15566,1196823
Q2 2019,24363124,223435,24139689,21703550,2436139,387122,759767,377034,-93271,1353349,683216,-66343,277452,4374,273077,206734,30464,7347,37811,168924,89752,79171
Q3 2019,25630570,212187,25418383,22110016,3308366,299271,751651,346322,-2169,817724,873782,1162312,353398,9707,343691,1506004,373787,481,374268,1131736,117233,1014503
Q4 2019,23308401,225100,23083301,21680872,1402430,224144,-891,303513,11150,1005451,767414,-134250,395288,183090,212198,77948,157497,-83118,74379,3569,-31331,34899
Q1 2020,18937721,124732,18812990,19445060,-632070,240483,1128777,283060,-14543,814263,398896,-2748066,208500,5550,202951,-2545115,65992,407,66398,-2611513,-22105,-2589408
Q2 2020,6006040,10715,5995325,9869235,-3873910,353546,-99400,243548,-95193,588354,294391,-4398902,397212,15676,381537,-4017365,42783,6774,49556,-4066921,-96991,-3969930
Q3 2020,7620709,18509,7602201,10803033,-3200833,131896,357041,198859,5439,196585,336033,-3953156,33669,22953,10716,-3942440,48521,6217,54738,-3997178,-84773,-3912405
Q4 2020,8262172,59789,8202383,7686981,515402,144236,79238,199604,-46154,489476,549503,-504732,157372,29151,128221,-376511,51912,-6381,45531,-422042,-49156,-372885
Q1 2021,7528056,67909,7460147,11329232,-3869085,105594,358851,199221,-23599,394710,359369,-4900019,21239,23545,-2306,-4902325,69508,3021,72530,-4974855,-84892,-4889963
Q2 2021,6598388,61587,6536800,9039835,-2503035,141484,422624,207155,-41082,311185,453707,-3590149,36995,31756,5239,-3584910,59024,3384,62407,-3647317,-79062,-3568255
Q3 2021,4754034,18589,4735446,7746602,-3011156,560311,486741,201651,-20357,282987,347556,-3588486,153242,25192,128049,-3460437,49953,20932,70884,-3531321,-162652,-3368669
